"Date","Price","Open","High","Low","Vol.","Change %"
"06/26/2001","157.01","157.01","157.01","157.01","","-0.19%"
"06/25/2001","157.31","157.31","157.31","157.31","","-0.08%"
"06/22/2001","157.43","157.43","157.43","157.43","","0.08%"
"06/21/2001","157.31","157.31","157.31","157.31","","-0.15%"
"06/20/2001","157.55","157.55","157.55","157.55","","0.01%"
"06/19/2001","157.53","157.53","157.53","157.53","","0.30%"
"06/18/2001","157.06","157.06","157.06","157.06","","0.61%"
"06/15/2001","156.10","156.10","156.10","156.10","","0.01%"
"06/14/2001","156.09","156.09","156.09","156.09","","0.01%"
"06/13/2001","156.08","156.08","156.08","156.08","","0.15%"
"06/12/2001","155.85","155.85","155.85","155.85","","0.15%"
"06/11/2001","155.62","155.62","155.62","155.62","","0.19%"
"06/08/2001","155.32","155.32","155.32","155.32","","0.00%"
"06/07/2001","155.32","155.32","155.32","155.32","","0.01%"
"06/06/2001","155.31","155.31","155.31","155.31","","-0.08%"
"06/05/2001","155.43","155.43","155.43","155.43","","0.15%"
"06/04/2001","155.19","155.19","155.19","155.19","","0.05%"
"06/01/2001","155.12","155.12","155.12","155.12","","0.23%"
"05/31/2001","154.77","154.77","154.77","154.77","","-0.61%"
"05/30/2001","155.72","155.72","155.72","155.72","","-0.05%"
"05/29/2001","155.80","155.80","155.80","155.80","","-0.50%"
"05/28/2001","156.58","156.58","156.58","156.58","","0.54%"
"05/25/2001","155.74","155.74","155.74","155.74","","0.32%"
"05/24/2001","155.25","155.25","155.25","155.25","","-0.12%"
"05/23/2001","155.43","155.43","155.43","155.43","","-1.03%"
"05/22/2001","157.05","157.05","157.05","157.05","","-0.15%"
"05/21/2001","157.29","157.29","157.29","157.29","","-0.17%"
"05/18/2001","157.55","157.55","157.55","157.55","","0.15%"
"05/17/2001","157.31","157.31","157.31","157.31","","-0.53%"
"05/16/2001","158.15","158.15","158.15","158.15","","0.43%"
"05/15/2001","157.47","157.47","157.47","157.47","","0.47%"
"05/14/2001","156.73","156.73","156.73","156.73","","0.02%"
"05/11/2001","156.70","156.70","156.70","156.70","","-0.68%"
"05/10/2001","157.78","157.78","157.78","157.78","","0.32%"
"05/09/2001","157.27","157.27","157.27","157.27","","-0.08%"
"05/08/2001","157.40","157.40","157.40","157.40","","0.49%"
"05/07/2001","156.64","156.64","156.64","156.64","","0.35%"
"05/04/2001","156.09","156.09","156.09","156.09","","-0.23%"
"05/03/2001","156.45","156.45","156.45","156.45","","-0.84%"
"05/02/2001","157.78","157.78","157.78","157.78","","-0.84%"
"05/01/2001","159.11","159.11","159.11","159.11","","0.00%"
"04/30/2001","159.11","159.11","159.11","159.11","","-0.81%"
"04/27/2001","160.41","160.41","160.41","160.41","","0.85%"
"04/26/2001","159.06","159.06","159.06","159.06","","0.66%"
"04/25/2001","158.01","158.01","158.01","158.01","","0.10%"
"04/24/2001","157.85","157.85","157.85","157.85","","-0.53%"
"04/23/2001","158.69","158.69","158.69","158.69","","0.04%"
"04/20/2001","158.62","158.62","158.62","158.62","","1.12%"
"04/19/2001","156.87","156.87","156.87","156.87","","-1.25%"
"04/18/2001","158.86","158.86","158.86","158.86","","-0.72%"
"04/17/2001","160.01","160.01","160.01","160.01","","-0.39%"
"04/16/2001","160.63","160.63","160.63","160.63","","0.33%"
"04/13/2001","160.10","160.10","160.10","160.10","","0.69%"
"04/12/2001","159.00","159.00","159.00","159.00","","-0.53%"
"04/11/2001","159.84","159.84","159.84","159.84","","-0.75%"
"04/10/2001","161.05","161.05","161.05","161.05","","-0.48%"
"04/09/2001","161.83","161.83","161.83","161.83","","-0.20%"
"04/06/2001","162.15","162.15","162.15","162.15","","-0.55%"
"04/05/2001","163.05","163.05","163.05","163.05","","-1.35%"
"04/04/2001","165.28","165.28","165.28","165.28","","1.72%"
"04/03/2001","162.49","162.49","162.49","162.49","","-0.33%"
"04/02/2001","163.03","163.03","163.03","163.03","","1.39%"
"03/30/2001","160.79","160.79","160.79","160.79","","0.68%"
"03/29/2001","159.70","159.70","159.70","159.70","","1.61%"
"03/28/2001","157.17","157.17","157.17","157.17","","-0.76%"
"03/27/2001","158.38","158.38","158.38","158.38","","0.02%"
"03/26/2001","158.35","158.35","158.35","158.35","","0.13%"
"03/23/2001","158.14","158.14","158.14","158.14","","-1.03%"
"03/22/2001","159.78","159.78","159.78","159.78","","1.54%"
"03/21/2001","157.36","157.36","157.36","157.36","","0.50%"
"03/20/2001","156.58","156.58","156.58","156.58","","0.04%"
"03/19/2001","156.51","156.51","156.51","156.51","","0.15%"
"03/16/2001","156.27","156.27","156.27","156.27","","0.66%"
"03/15/2001","155.24","155.24","155.24","155.24","","-0.19%"
"03/14/2001","155.54","155.54","155.54","155.54","","0.99%"
"03/13/2001","154.02","154.02","154.02","154.02","","-0.31%"
"03/12/2001","154.50","154.50","154.50","154.50","","0.78%"
"03/09/2001","153.30","153.30","153.30","153.30","","-0.05%"
"03/08/2001","153.38","153.38","153.38","153.38","","-0.01%"
"03/07/2001","153.40","153.40","153.40","153.40","","0.52%"
"03/06/2001","152.61","152.61","152.61","152.61","","-0.84%"
"03/05/2001","153.91","153.91","153.91","153.91","","0.56%"
"03/02/2001","153.05","153.05","153.05","153.05","","0.35%"
"03/01/2001","152.52","152.52","152.52","152.52","","0.69%"
"02/28/2001","151.47","151.47","151.47","151.47","","0.35%"
"02/27/2001","150.94","150.94","150.94","150.94","","0.20%"
"02/26/2001","150.64","150.64","150.64","150.64","","-0.15%"
"02/23/2001","150.87","150.87","150.87","150.87","","0.63%"
"02/22/2001","149.93","149.93","149.93","149.93","","0.16%"
"02/21/2001","149.69","149.69","149.69","149.69","","0.48%"
"02/20/2001","148.97","148.97","148.97","148.97","","-1.04%"
"02/19/2001","150.54","150.54","150.54","150.54","","0.24%"
"02/16/2001","150.18","150.18","150.18","150.18","","0.13%"
"02/15/2001","149.99","149.99","149.99","149.99","","-0.81%"
"02/14/2001","151.21","151.21","151.21","151.21","","-0.16%"
"02/13/2001","151.45","151.45","151.45","151.45","","-0.83%"
"02/12/2001","152.72","152.72","152.72","152.72","","0.04%"
